,phrase,label,sentiment,subjectivity,language,count
(41),,,,,,
-Junge,,,,,,
Afghanistan,,,,,,
Afrika,,,,,,
Alanya,,,,,,
Alaska,,,,,,
Algorith,,,,,,
Amerikaner,,,,,,
Amerikas,,,,,,
Antalya,,,,,,
Antarktis,,,,,,
Arizona,,,,,,
Athen,,,,,,
Atlantik,,,,,,
Attributionsstudie,,,,,,
Australian Open,,,,,,
Australien,,,,,,
Australiens,,,,,,
Auto,,,,,,
Außergewöhnlich,,,,,,
A…,,,,,,
BILD25.01.2025,,,,,,
Baden,,,,,,
Baden-Württemberg,,,,,,
Balkonkraftwerke,,,,,,
Balljunge,,,,,,
Bandar Lampung,,,,,,
Bangkok,,,,,,
Bangladesch,,,,,,
Barberini,,,,,,
Bauchfleck,,,,,,
Baum-Pflanzungen,,,,,,
Baumhasel,,,,,,
Bayern,,,,,,
Bayerns,,,,,,
Beartooth Plateau,,,,,,
Beleks,,,,,,
Berchtesgaden,,,,,,
Bergen,,,,,,
Berlin,,,,,,
Berlin-Br,,,,,,
Berlin-Brandenburg,,,,,,
Berlin-Mitte,,,,,,
Berlin-Neukölln,,,,,,
Berlin-Spandau,,,,,,
Besorgniserregende,,,,,,
Bezirk,,,,,,
Bezirk Mitte,,,,,,
Bezirke-Newsletter,,,,,,
Bezirks,,,,,,
Bezirksamt will,,,,,,
Blackrock,,,,,,
Bochum,,,,,,
Brand,,,,,,
Brandenburg,,,,,,
Brandenburg am Sonntag,,,,,,
Brandenburgs,,,,,,
Brasilianerin,,,,,,
Brasilien,,,,,,
Braunlage,,,,,,
Bremen,,,,,,
Bremse,,,,,,
Bucht von Alcudia,,,,,,
Bénazetsaal,,,,,,
B…,,,,,,
China,,,,,,
Chinas,,,,,,
Chinesen,,,,,,
Copernicus-Report,,,,,,
Copernicus-Studie,,,,,,
Costa Brava,,,,,,
DWD,,,,,,
Deepseek-Gewitter,,,,,,
Deodorant-Explosion,,,,,,
Deutsche Oper Berlin,,,,,,
Deutsche Wetterdienst,,,,,,
Deutschlan,,,,,,
Deutschland,,,,,,
Deutschlands,,,,,,
Dicke Luft im Rheintal,,,,,,
Diensthunden,,,,,,
Divisionstitel,,,,,,
Doms,,,,,,
Donaubrücke,,,,,,
Dresden,,,,,,
Drucken</li><li,,,,,,
Dubai,,,,,,
Dunkelmänner,,,,,,
Dänemark,,,,,,
Dänen,,,,,,
Eispanzer,,,,,,
Ely Oaks,,,,,,
Embargos,,,,,,
Erdbeben,,,,,,
Erde,,,,,,
Erlensee,,,,,,
Erzbischöfliche Palais,,,,,,
Europa,,,,,,
Europas,,,,,,
Europäern,,,,,,
Extremwetter,,,,,,
FOCUS-online-Redakteurin,,,,,,
Feedback</li><li,,,,,,
Ferne,,,,,,
Feuerwehr-Einsatz,,,,,,
Feuerwetter,,,,,,
Fischstäbchen-Brand,,,,,,
Flachs,,,,,,
Formentera,,,,,,
Formentera Gewitter,,,,,,
Forscherberechnungen,,,,,,
Fort Myers,,,,,,
Fort Myers Sonne,,,,,,
Frankfurt,,,,,,
Frankreich,,,,,,
Freibads Bad Rappenau,,,,,,
Freizeitsportanlage,,,,,,
Freizeitsportanlage Südpark,,,,,,
Frost-Tage,,,,,,
Futuristisch,,,,,,
Gardasee,,,,,,
Genre-Ableger,,,,,,
Gewitter,,,,,,
Glatteis,,,,,,
Glättegefahr,,,,,,
Gold Coast toben Orkanböen,,,,,,
Gold Coast!,,,,,,
Griechen,,,,,,
Grosses,,,,,,
Großraum Los Angeles,,,,,,
Grönland,,,,,,
Grönlands,,,,,,
Grönländern,,,,,,
Grönländische Eisschild,,,,,,
H,,,,,,
Habt,,,,,,
Hadrianische Aquädukt,,,,,,
Hamburg,,,,,,
Hannover,,,,,,
Harz,,,,,,
Haus am Ring,,,,,,
Heerstraße,,,,,,
Heilbronn,,,,,,
Herausforderu,,,,,,
Hertha - Siesta,,,,,,
Hessen,,,,,,
Historisches Dubai,,,,,,
Hitze,,,,,,
Hochhausstopp,,,,,,
Hollywood,,,,,,
Holz,,,,,,
Hongkonger Palace Museum,,,,,,
Hundeschwimmtage,,,,,,
Höchstens,,,,,,
Ibiza,,,,,,
Ibiza-Februar,,,,,,
Indischen Ozean,,,,,,
Indischen Ozeans,,,,,,
Indonesien,,,,,,
Inneren der Sonne,,,,,,
Insel-Wochenende,,,,,,
Island,,,,,,
Israelis,,,,,,
Italien,,,,,,
Izmir,,,,,,
Jahrtausendealte Kiefern,,,,,,
Jennerbahn,,,,,,
Jennerbahn bei Berchtesgaden,,,,,,
Joda-Sportpark,,,,,,
KI-Chips,,,,,,
KI-Gewitter,,,,,,
Kalifornien,,,,,,
Kaliforniens,,,,,,
Kilchberg,,,,,,
Kleopatra Beach,,,,,,
Klimaallianzen,,,,,,
Kommentare</li><li,,,,,,
Kopiere,,,,,,
Kreis Fulda,,,,,,
Kunstmuseum… [+3146 chars,,,,,,
Kyodo,,,,,,
Kölner Dom,,,,,,
Königreich,,,,,,
L.,,,,,,
L.A.,,,,,,
Landesmuseum,,,,,,
Las Vegas,,,,,,
Lentos Kunstmuseum,,,,,,
Liegewiese,,,,,,
Linz,,,,,,
Linzer Hauptplatz,,,,,,
Livland,,,,,,
London,,,,,,
Los,,,,,,
Los Angel,,,,,,
Los Angeles,,,,,,
Louvre,,,,,,
Lübeck,,,,,,
MV,,,,,,
Magdeburg,,,,,,
Magnum-Eis,,,,,,
Magnum-Trick,,,,,,
Major-Turnieren,,,,,,
Mallorca,,,,,,
Mareterra,,,,,,
Mars,,,,,,
Marzahn,,,,,,
Mauritius,,,,,,
Mayotte,,,,,,
Mecklenburg-Vorpommern,,,,,,
Meer,,,,,,
Melbourne,,,,,,
Meldu,,,,,,
Merry Christmarx,,,,,,
Milliardenhöhe,,,,,,
Mitte-rechts-Wähler,,,,,,
Mittelmeer,,,,,,
Mittelmeerraum,,,,,,
Moabit,,,,,,
Monaco,,,,,,
Mond,,,,,,
Mondes,,,,,,
Monster-Sturm,,,,,,
Mosambik,,,,,,
Mosel,,,,,,
Museum Barberini,,,,,,
Museums,,,,,,
München,,,,,,
München Wolkenkratzer,,,,,,
München/Rostock,,,,,,
NRW,,,,,,
Nacht erw,,,,,,
Nasa,,,,,,
Nebel,,,,,,
Neukölln,,,,,,
Niedersachsen,,,,,,
Nigeria,,,,,,
Nordpol,,,,,,
Nordrhein-Westfalen,,,,,,
Norwegen,,,,,,
Oberbayern,,,,,,
Oberflä…,,,,,,
Offenbach,,,,,,
Offenbach am Main,,,,,,
Offenbach/Main,,,,,,
Opernzwillinge,,,,,,
Orangen-Rezepte,,,,,,
Ortenaukreis,,,,,,
Ostsee,,,,,,
Oval Office,,,,,,
Ozean,,,,,,
Pacific Palisades,,,,,,
Paketposthalle,,,,,,
Pakistan,,,,,,
Palma,,,,,,
Pariser,,,,,,
Parnitha,,,,,,
Pazifik,,,,,,
Pazifikraum,,,,,,
Perfo,,,,,,
Philippinen,,,,,,
Phoenix,,,,,,
Pityusen,,,,,,
Planschen,,,,,,
Playa de Muro,,,,,,
Potsdam,,,,,,
Prag,,,,,,
Preußen,,,,,,
Privacy Center,,,,,,
Promis,,,,,,
Rathaus Eivissa,,,,,,
Rekordnähe,,,,,,
Rhein,,,,,,
Rhein-Main,,,,,,
Rheinland-Pfalz,,,,,,
Rheintal,,,,,,
Rio Grande do Sul,,,,,,
Rio de Janeiro,,,,,,
Rocky Mountains,,,,,,
Rotor-Blätter,,,,,,
Rutsche,,,,,,
Rügen,,,,,,
Rüsselsheim,,,,,,
Saar,,,,,,
Saarland,,,,,,
Sachsen,,,,,,
Sachsen-Anhalt,,,,,,
Sachsen-Anhalter,,,,,,
Salzburger,,,,,,
Salzburger Flughafen,,,,,,
Sanibel Island,,,,,,
Sant Antoni,,,,,,
Santorini,,,,,,
Santos,,,,,,
Schatten,,,,,,
Schattenflotte,,,,,,
Scholz,,,,,,
Schwarzwald,,,,,,
Schweden,,,,,,
Sich ans Meer,,,,,,
Silvester,,,,,,
Sizilien,,,,,,
Skifahren,,,,,,
Slowakei,,,,,,
Slowenen,,,,,,
Sonne,,,,,,
Sonnenkönig,,,,,,
Sonnenschein,,,,,,
South Mountain,,,,,,
Spandau,,,,,,
Spandauer Freibad,,,,,,
Spandaus,,,,,,
Spanien,,,,,,
Sportparadies,,,,,,
Staatsoper,,,,,,
Stadt,,,,,,
Stadtbad Tiergarten,,,,,,
Steigend…,,,,,,
Sturmböen,,,,,,
Stuttgart,,,,,,
Syrien,,,,,,
Syriens,,,,,,
Südbrasilien,,,,,,
Südkalifornien,,,,,,
Südlichen Ozean,,,,,,
Südostasien,,,,,,
Südostasiens,,,,,,
Südpolarmeer,,,,,,
S…,,,,,,
Tag am Strand,,,,,,
Tahiris Schatten,,,,,,
Teilen</li><li,,,,,,
Tel Aviv,,,,,,
Tem…,,,,,,
Tennis-Thron in Melbourne,,,,,,
Thailands,,,,,,
Thüringen,,,,,,
Tiergarten,,,,,,
Tiroler,,,,,,
Todesfelde,,,,,,
Top-Vorständen,,,,,,
Torschüssen,,,,,,
Toskana,,,,,,
Travemünde,,,,,,
Twitter</li><li,,,,,,
Tälern,,,,,,
Türkei,,,,,,
Türkische Riviera,,,,,,
Türkische Ägäis,,,,,,
U300€.,,,,,,
US-Bundes,,,,,,
US-Metropole,,,,,,
US-Präsident,,,,,,
US-Präsidenten,,,,,,
USA,,,,,,
Ukraine,,,,,,
Ukraine dauerh…,,,,,,
Unterrich,,,,,,
Vara de Rey,,,,,,
Venice Beach,,,,,,
Vereinigten Staaten,,,,,,
Versailles,,,,,,
Vertreibung von Palästinensern,,,,,,
Villa Austria Saalbach,,,,,,
Wahldbrände,,,,,,
Wahlkampf-Modus,,,,,,
Wahlkampfzeiten,,,,,,
Waldbrand-Inferno,,,,,,
Wall Street-Banken,,,,,,
Washington,,,,,,
Weihnachtstrubel,,,,,,
Weiße Haus Kopiere,,,,,,
Westküste,,,,,,
Wetterrisiken,,,,,,
Wettervorhersage,,,,,,
Wien,,,,,,
Wiener Stephansplatz,,,,,,
Willkommen,,,,,,
Winterfrische,,,,,,
Wohlstandsverspr,,,,,,
Wuchshüllen,,,,,,
Wörgl,,,,,,
Yaccarino,,,,,,
Z,,,,,,
Zakopane,,,,,,
Zwangsabschaltungen,,,,,,
den USA,,,,,,
der arktische Ozean,,,,,,
de… Willkommen,,,,,,
down,,,,,,
dürf…,,,,,,
französische Kulturministerium,,,,,,
heruntergebrannte,,,,,,
kugelsicher,,,,,,
nebelig-trüb,,,,,,
ni…,,,,,,
sim…,,,,,,
sin…,,,,,,
zurü,,,,,,
Österreich,,,,,,
Österreicher,,,,,,
