day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2024-12-11,-0.6569042574337515,1.0495646380284358,0.08266274911888626,1.1417475790385205,3.0
2024-12-12,0.6603113693928135,0.5549500092687832,-0.4528420075128632,0.31200219912487015,4.0
2024-12-13,0.5728826279474688,1.0,-0.6345870982172918,1.0,1.0
2024-12-15,-0.14159615480781557,1.0,-0.4651644271097708,1.0,1.0
2024-12-16,1.0603798754503333,1.0582698472272392,0.6111309969307287,1.83003185908812,4.0
2024-12-17,-0.4450981684041548,0.34150806786929283,0.24351296583268037,1.326486997790432,3.0
2024-12-18,0.16228484213684558,0.9938460051615684,0.036488941240508964,0.8139073137950742,6.0
2024-12-19,0.02408907599201692,0.153920255297366,0.17713554608326654,0.7219120124403516,2.0
2024-12-20,-0.03014146622220326,0.08735712916243632,0.5798614879654453,1.2685650366857046,3.0
2024-12-21,-0.8781345669793265,1.5999573122548985,-0.21832713173270438,0.8062889373373351,3.0
2024-12-23,0.03630336718841097,1.2377411668241989,-0.25345806999772263,0.6062467534142775,8.0
2024-12-24,0.333124706047637,0.7249622210516105,-0.3648104516101345,0.5005545574323134,6.0
2024-12-25,0.3521566936199948,1.0939619563663312,-0.29875703509522683,0.4247617840995378,9.0
2024-12-26,0.15541580694997292,1.545090159496968,0.20929510650407518,0.7863692157184792,5.0
2024-12-27,-0.23566632883009445,1.1331751620730364,0.5440005775720613,2.264983860451564,12.0
2024-12-28,1.3036250236349374,1.0,2.041241452319315,1.0,1.0
2024-12-29,-0.49257240552787257,0.41265714477416243,-0.07052557728929315,0.9288562918312894,2.0
2024-12-30,0.8186547922477089,0.39923981363707367,0.3495917237111528,0.9114564878129957,7.0
2024-12-31,0.17087246667679226,1.324269053985579,0.1987566470389397,1.0646033444120095,4.0
2025-01-01,0.8018525843792623,0.7479232256674686,-0.5010797936829474,0.10895119395611776,4.0
2025-01-02,1.1201237595359577,1.2451923085512961,-0.8214743136502828,0.0,2.0
2025-01-03,0.66120736216236,0.6837931511378681,0.1381791747786436,1.3903152125238585,5.0
2025-01-04,0.00942759715046886,0.16895482538287188,0.09340945801313583,1.1174182904330798,3.0
2025-01-05,0.38571428571428573,1.0,0.2857142857142857,1.0,1.0
2025-01-06,-0.08386305008296131,1.3524241162521413,-0.19885824679603506,0.8494738923277988,12.0
2025-01-07,-0.1074296157402248,0.7581401796768762,-0.5285328267524159,0.25587395968489723,7.0
2025-01-08,-0.9263452648867398,1.2965751337889095,-0.09060818894309708,1.0604116419045229,7.0
2025-01-09,-0.11688831393885384,0.33785730274296627,-0.3860907906499102,0.771388074151241,8.0
2025-01-10,-0.052520798348777535,0.8179538519471984,0.180285712027543,1.0752833193820184,22.0
