keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Eiscreme',1.1305630333611711,1.0,-0.5669467095138409,1.0,1.0
'Erderwärmung',-0.15868003970988923,0.888356619239744,-0.033608932826371306,0.9355880494068378,34.0
'Freibad',0.34880934802841923,0.8120076675076727,-0.23878902029681437,0.33961463001493164,8.0
'Gewitter',-0.16154098634504527,0.9934937538239768,0.5279575149755528,1.547312996511897,26.0
'Hitze',-0.1906734310046803,0.8268878658213241,0.25690307129226186,0.8281021067010191,36.0
'Hitzerekord',-0.014933692277237405,1.0,-0.5,1.0,1.0
'Klimawandel',-0.3165066814384045,0.8668761605465091,-0.1794732523458197,0.8589194902263176,40.0
'Schatten',0.1911319610447259,0.8863236224329794,-0.020134938657073508,0.8502102488434187,50.0
'Siesta',0.7481839411175719,1.0580918766782232,-0.15811388300841897,0.22360679774997896,2.0
'Sommerferien',0.03712530725740554,0.43485134610583687,0.5313426189397857,1.326591823162139,3.0
'Sonne',0.18275591899954094,1.0097422454711111,-0.14896201667582157,0.7662804027100416,69.0
'Sonnenstunden',1.0256442862366042,0.9462202213323871,-0.25844647280019606,0.555543371881164,3.0
