,summary,Klima,Anpassung,Sommer,Schule,word
summaryOfAllWords,58615.21085618647,17265.336866680987,13208.13516819127,24778.154829259023,3363.583992073286,
Naturschutz,2.114872553893695,-0.14629148901597355,0.4250903269100484,-0.2259344751971665,0.10271609454247346,Naturschutz
Berlin-Neukölln,2.127646042981624,-0.15231316099879397,0.43643876032079126,-0.23195614717998708,0.09669442255965294,Berlin-Neukölln
natur+schutz berlin-neuköll+n,2.127646042981624,-0.15231316099879397,0.43643876032079126,-0.23195614717998708,0.09669442255965294,natur+schutz berlin-neuköll+n
Bezirksamt,2.144381594121713,-0.1601481462440893,0.4509144552608073,-0.23979113242528238,0.08885943731435762,Bezirksamt
berlin-neuköll+n bezirk+s+amt,2.144381594121713,-0.1601481462440893,0.4509144552608073,-0.23979113242528238,0.08885943731435762,berlin-neuköll+n bezirk+s+amt
305,2.4553001350710644,-0.29554594492505104,0.6590393184966671,-0.375188931106244,-0.04653836136660402,305
bezirk+s+amt 305,2.162971962659919,-0.1687801211796159,0.46649592642552906,-0.24842310736080894,0.08022746237883095,bezirk+s+amt 305
neue,20.69975773238334,0.2747036625050316,0.006010965118237507,-0.1088344875174291,-2.1784113494344117,neue
305 neu+e,2.1681518552277734,-0.1711720615883101,0.4707475123477962,-0.25081504776950303,0.07783552197013704,305 neu+e
Bäume,7.084058574618109,-0.23375478915731018,0.5114210023135763,-0.1276271900543657,-1.1061363414472087,Bäume
neu+e baum+e,3.1866362362613474,0.2706948427424258,0.43420117964219646,-0.635905811780048,-0.3072552420404081,neu+e baum+e
pflanzen,2.1837336851686695,-0.1783330479617783,0.48330915429722476,-0.2579760341429713,0.07067453559666863,pflanzen
baum+e pflanz+en,2.1837336851686695,-0.1783330479617783,0.48330915429722476,-0.2579760341429713,0.07067453559666863,baum+e pflanz+en
Vor,11.427872879887262,-0.4155898191016635,0.6038104131180657,-0.42847162368586234,0.7212925567650108,Vor
pflanz+en vor,2.1982083586135173,-0.18493958266595636,0.4946817819610067,-0.2645825688471496,0.06406800089249057,pflanz+en vor
Süden,8.481841944267678,0.522031483533585,-0.5641485672271713,-0.1619886370113438,-1.2862169896071451,Süden
vor süden,2.2226399037717464,-0.19599257179303203,0.5132609257747776,-0.27563555797422523,0.053015011765414725,vor süden
Bezirks,2.144381594121713,-0.1601481462440893,0.4509144552608073,-0.23979113242528238,0.08885943731435762,Bezirks
süden bezirk+s,2.144381594121713,-0.1601481462440893,0.4509144552608073,-0.23979113242528238,0.08885943731435762,süden bezirk+s
sollen,6.6628191302462145,-0.15425351562432685,0.3938990237720505,-0.24078819498447554,0.34675079270404463,sollen
bezirk+s soll+en,2.266246280522336,-0.21542177837747006,0.5446319296435397,-0.2950647645586633,0.03358580518097664,bezirk+s soll+en
soll+en neu+e,2.1681518552277734,-0.1711720615883101,0.4707475123477962,-0.25081504776950303,0.07783552197013704,soll+en neu+e
gesetzt,3.286348789641962,0.2345795558409601,0.49489718428543594,-0.6667170808423681,-0.3380665111027279,gesetzt
baum+e ge+setz+t,2.600588145596062,-0.3530345658301081,0.7289367131165027,-0.43267755201130115,-0.10402698227166099,baum+e ge+setz+t
künftig,5.668479077834081,0.7081444314202987,-0.1861758648721385,-0.7933661761069923,-0.8832101944970843,künftig
ge+setz+t künftig,2.4462025260873483,-0.2918337692679478,0.6542081439154448,-0.371476755449141,-0.04282618570950091,ge+setz+t künftig
etwa,4.687421285595009,-0.13113590899332878,0.07534135064080696,0.10598053117734582,-0.6931719517303117,etwa
künftig etwa,2.524768551916742,-0.3234463324584403,0.6940745534711252,-0.4030893186396334,-0.07443874889999344,künftig etwa
heißen,3.2139818124651454,-0.08017217682773173,0.5540474050434564,-0.3626482775828758,-0.3157999614332986,heißen
etwa heiß+en,2.6462279620140676,-0.37043215196586066,0.7484227980693412,-0.4500751381470538,-0.12142456840741375,etwa heiß+en
Sommern,2.835552404465219,-0.4395337064014339,0.8192698441196296,-0.5191766925826269,-0.19052612284298687,Sommern
heiß+en sommer+n,2.835552404465219,-0.4395337064014339,0.8192698441196296,-0.5191766925826269,-0.19052612284298687,heiß+en sommer+n
Schatten,137.46349852771897,-4.320655353151157,1.4653798037728336,-3.0720296545042682,-4.07164776959271,Schatten
sommer+n schatten,3.473809599774527,-0.6425487956529171,0.9810877456111577,-0.7221917818341104,-0.3935412120944702,sommer+n schatten
spenden,3.3264568918494426,0.08317260003374995,0.6346428691780536,-0.678847663825511,-0.350197094085871,spenden
schatten spend+en,2.7998217963690233,-0.4268527075414845,0.8069948392808871,-0.5064956937226776,-0.17784512398303745,schatten spend+en
Wir,9.06282699297212,-0.09728582421072068,0.08998166374940118,-0.10809006696316986,0.6210356347739285,Wir
verraten,2.53694719841973,-0.32825840433463516,0.6998990559653255,-0.4079013905158283,-0.07925082077618822,verraten
wir verrat+en,2.53694719841973,-0.32825840433463516,0.6998990559653255,-0.4079013905158283,-0.07925082077618822,wir verrat+en
Standorte,2.3898740344323692,-0.2685375958356471,0.6229178570422929,-0.3481805820168402,-0.019530012277200113,Standorte
verrat+en stand+ort+e,2.3898740344323692,-0.2685375958356471,0.6229178570422929,-0.3481805820168402,-0.019530012277200113,verrat+en stand+ort+e
geplant,2.7080584916155517,0.13024196557884907,0.44445177281525755,-0.47317187710018743,-0.14452130736054739,geplant
stand+ort+e ge+plan+t,2.337595320679818,-0.24641969678934686,0.591560966944905,-0.3260626829705398,0.0025878867691001084,stand+ort+e ge+plan+t
Neukölln,2.4937359355639637,-0.3110788983056542,0.6788159882418585,-0.3907218844868473,-0.062071314747207125,Neukölln
neukölln soll+en,2.25013027201269,-0.20828504975219367,0.5332932400437838,-0.28792803593338673,0.04072253380625324,neukölln soll+en
Pflanzperiode,2.21268012021502,-0.19150144139260894,0.5057780144237415,-0.271144427573802,0.057506142165838145,Pflanzperiode
soll+en pflanz+periode,2.21268012021502,-0.19150144139260894,0.5057780144237415,-0.271144427573802,0.057506142165838145,soll+en pflanz+periode
Frühjahr,2.666982683322712,0.08607344899626311,0.4716120153485912,-0.4578876749572475,-0.12923710521760742,Frühjahr
pflanz+periode frühjahr,2.1681518552277734,-0.1711720615883101,0.4707475123477962,-0.25081504776950303,0.07783552197013704,pflanz+periode frühjahr
insgesamt,2.626702426687457,-0.36302616586974,0.262751409619037,-0.442669152050933,1.3906650924383062,insgesamt
frühjahr insgesamt,2.1556256148245865,-0.16537792646726135,0.4603996490215155,-0.24502091264845444,0.0836296570911856,frühjahr insgesamt
insgesamt 305,2.144381594121713,-0.1601481462440893,0.4509144552608073,-0.23979113242528238,0.08885943731435762,insgesamt 305
305 baum+e,2.1401950363591773,-0.1581938999061191,0.4473339838504713,-0.2378368860873122,0.09081368365232778,305 baum+e
darunter,2.1197858450016454,-0.14861200361237364,0.42948693557289874,-0.22825498979356673,0.10039557994607334,darunter
ge+setz+t darunter,2.1197858450016454,-0.14861200361237364,0.42948693557289874,-0.22825498979356673,0.10039557994607334,ge+setz+t darunter
207,2.1125058771268543,-0.1451717988568272,0.4229582823819163,-0.2248147850380202,0.10383578470161968,207
darunter 207,2.1125058771268543,-0.1451717988568272,0.4229582823819163,-0.2248147850380202,0.10383578470161968,darunter 207
Straßenbäume,2.1094381845449535,-0.1437185853244071,0.42018079181889956,-0.22336157150560013,0.10528899823403984,Straßenbäume
207 straße+n+baum+e,2.1094381845449535,-0.1437185853244071,0.42018079181889956,-0.22336157150560013,0.10528899823403984,207 straße+n+baum+e
straße+n+baum+e baum+e,2.1401950363591773,-0.1581938999061191,0.4473339838504713,-0.2378368860873122,0.09081368365232778,straße+n+baum+e baum+e
Grünanlagen,2.089776568741765,-0.1343540918933578,0.4019961793422271,-0.2139970780745509,0.11465349166508908,Grünanlagen
baum+e grün+anlage+n,2.089776568741765,-0.1343540918933578,0.4019961793422271,-0.2139970780745509,0.11465349166508908,baum+e grün+anlage+n
Bezirke-Newsletter,2.0810722017241434,-0.13018017903599555,0.3937272218190768,-0.20982316521718855,0.11882740452245132,Bezirke-Newsletter
bezirke-newsletter neukölln,2.0706848290074795,-0.1251763243722925,0.3836768405215712,-0.20481931055348568,0.12383125918615451,bezirke-newsletter neukölln
Mehr,10.55490649350034,-0.22302714482043887,-0.12077981939837687,0.2084235942634042,-0.2668530567364665,Mehr
neukölln mehr,2.065477706684993,-0.12265847115522592,0.37856195769319306,-0.20230145733641894,0.12634911240322114,neukölln mehr
Neu…,2.0632161533385434,-0.12156294135848407,0.3763242105863168,-0.20120592753967723,0.12744464219996282,Neu…
mehr neu…,2.0632161533385434,-0.12156294135848407,0.3763242105863168,-0.20120592753967723,0.12744464219996282,mehr neu…
+2071,2.0605833494093035,-0.12028605857831884,0.37370658632021136,-0.19992904475951187,0.12872152498012826,+2071
neu… +2071,2.0605833494093035,-0.12028605857831884,0.37370658632021136,-0.19992904475951187,0.12872152498012826,neu… +2071
chars,105.5155381564189,-0.02369527670848309,-0.22430132134291764,0.18010387058557412,-0.7864514375555364,chars
+2071 chars,2.0580344938073702,-0.1190483346503624,0.3711594768112812,-0.1986913208315553,0.1299592489080846,+2071 chars
Nasa,4.716067765452737,-0.9482722883762966,-0.9082706812879042,0.5951237063035915,-0.6992647048178497,Nasa
skeptisch,2.0482937432322554,-0.11430406274450729,-0.07430245565611486,0.08971314386382404,0.13470352081393974,skeptisch
nasa skeptisch,2.0482937432322554,-0.11430406274450729,-0.07430245565611486,0.08971314386382404,0.13470352081393974,nasa skeptisch
Island,3.586812116014657,-0.01698669737190487,-0.6345591474867064,0.26944025826422424,-0.4255531710166518,Island
skeptisch island,2.054813400332224,-0.11748197760695754,-0.07748037051856525,0.09339518752018028,0.13152560595148938,skeptisch island
plant,2.059260556614248,-0.11964390180214685,-0.0796422947137545,0.09588569178136386,0.1293636817562999,plant
island plan+t,2.059260556614248,-0.11964390180214685,-0.0796422947137545,0.09588569178136386,0.1293636817562999,island plan+t
trotzdem,2.3417588591836553,0.1688418108514755,-0.20819762569782085,-0.028485817731414172,0.0008083507722338937,trotzdem
plan+t trotzdem,2.0632774890317007,-0.12159266911210616,-0.08159106202371388,0.09812074594269278,0.12741491444634076,plan+t trotzdem
Strom,5.629852577338685,-1.1253801931509908,-1.0853785860625984,0.5543049401206588,0.4768397408518825,Strom
trotzdem strom,2.069695715854617,-0.12469853584007376,-0.0846969287516813,0.10166364342063655,0.12430904771837319,trotzdem strom
Solarkraftwerk,2.082461628116104,-0.13084760555410394,-0.09084599846571144,0.10860905295226368,0.11815997800434305,Solarkraftwerk
strom solarkraftwerk,2.082461628116104,-0.13084760555410394,-0.09084599846571144,0.10860905295226368,0.11815997800434305,strom solarkraftwerk
All,4.566502536802166,-0.9160445392134625,-0.8760429321250701,0.5850966371727516,-0.6670369556550154,All
solarkraftwerk all,2.0994302677581524,-0.13896294339266022,-0.09896133630426779,0.11763782575949455,0.1100446401657867,solarkraftwerk all
beziehen,2.6273414312461765,0.00798258065618062,-0.32326780173064484,0.14523701820808946,-0.11426182526059023,beziehen
all bezieh+en,2.1069683144244733,-0.1425470330067723,-0.10254542591838013,0.12157645301908195,0.10646055055167454,all bezieh+en
Als,6.997530234029584,0.19255853349939436,0.10100354086202187,-0.12141535701207251,-1.0938466160694993,Als
bezieh+en als,2.1176124765970052,-0.1475862003103129,-0.1075845932219205,0.1270643418380375,0.10142138324813407,bezieh+en als
erstes,3.7878942075520157,0.203377355007925,-0.027131293961826747,-0.09554895759845489,-0.4800995996024419,erstes
