index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.zeit.de/news/2025-06/01/hitzehilfe-fuer-berliner-obdachlose-startet,https://www.zeit.de/news/2025-06/01/hitzehilfe-fuer-berliner-obdachlose-startet,0,www.zeit.de,Zum Sommerbeginn: Hitzehilfe für Berliner Obdachlose startet,Hier finden Sie Informationen zu dem Thema „Zum Sommerbeginn“. Lesen Sie jetzt „Hitzehilfe für Berliner Obdachlose startet“.,https://img.zeit.de/news/2025-06/01/hitzehilfe-fuer-berliner-obdachlose-startet-image-group/wide__1300x731,2025-06-01T02:00:53Z,,Mit dem meteorologischen Beginn des Sommers startet an diesem Sonntag auch die Hitzehilfe für obdachlose Menschen in Berlin. Sie können dann in speziellen Räumlichkeiten Schutz vor gleißender Sonne u… [+746 chars],,de,'Hitze'
https://www.stern.de/gesellschaft/regional/berlin-brandenburg/zum-sommerbeginn--hitzehilfe-fuer-berliner-obdachlose-startet-35771066.html,https://www.stern.de/gesellschaft/regional/berlin-brandenburg/zum-sommerbeginn--hitzehilfe-fuer-berliner-obdachlose-startet-35771066.html,0,www.stern.de,Zum Sommerbeginn: Hitzehilfe für Berliner Obdachlose startet,Nicht nur Kälte und Regen machen auf der Straße lebenden Menschen zu schaffen. Im Sommer kann Hitze für sie lebensgefährlich werden. Deshalb startet an diesem Sonntag erneut die Hitzehilfe.,https://image.stern.de/35771068/t/j-/v1/w1440/r1.7778/-/01--xdvzzwtlpjv4axs2048jpeg---029d242d39720c94.jpg,2025-06-01T02:00:53Z,https://web.archive.org/web/20250601023458/https://www.stern.de/gesellschaft/regional/berlin-brandenburg/zum-sommerbeginn--hitzehilfe-fuer-berliner-obdachlose-startet-35771066.html,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Nicht nur Kälte und Regen machen auf der Straße lebenden Menschen zu schaffen. Im Sommer kann Hitze für sie lebensgefährlich werden. Deshalb star… [+951 chars]",,de,'Hitze'
https://www.tagesspiegel.de/berlin/zum-sommerbeginn-hitzehilfe-fur-berliner-obdachlose-startet-13783969.html,https://www.tagesspiegel.de/berlin/zum-sommerbeginn-hitzehilfe-fur-berliner-obdachlose-startet-13783969.html,0,www.tagesspiegel.de,Zum Sommerbeginn: Hitzehilfe für Berliner Obdachlose startet,Nicht nur Kälte und Regen machen auf der Straße lebenden Menschen zu schaffen. Im Sommer kann Hitze für sie lebensgefährlich werden. Deshalb startet an diesem Sonntag erneut die Hitzehilfe.,https://www.tagesspiegel.de/images/13783972/alternates/BASE_16_9_W1400/1748743387000/notunterkunft-der-hitzehilfe-fur-obdachlose.jpeg,2025-06-01T02:02:31Z,,Mit dem meteorologischen Beginn des Sommers startet an diesem Sonntag auch die Hitzehilfe für obdachlose Menschen in Berlin. Sie können dann in speziellen Räumlichkeiten Schutz vor gleißender Sonne u… [+1465 chars],,de,'Hitze'
https://www.morgenpost.de/kultur/article409141732/was-die-musik-gegen-den-klimawandel-tun-kann-und-schon-tut.html,https://www.morgenpost.de/kultur/article409141732/was-die-musik-gegen-den-klimawandel-tun-kann-und-schon-tut.html,0,www.morgenpost.de,Was die Musik gegen den Klimawandel tun kann – und schon tut,Vom Knirschen der Gletscher bis zur Platane bei Händel: Ein Buch untersucht die Reaktion der Klangkunst auf die Erderwärmung.,https://img.sparknews.funkemedien.de/409141585/409141585_1748525566_v16_9_1600.jpeg,2025-06-01T04:00:00Z,https://web.archive.org/web/20250602092639/https://www.morgenpost.de/kultur/article409141732/was-die-musik-gegen-den-klimawandel-tun-kann-und-schon-tut.html,Berlin. Vom Knirschen der Gletscher bis zur Platane bei Händel: Ein Buch untersucht die Reaktion der Klangkunst auf die Erderwärmung.,,de,'Erderwärmung'
https://www.zeit.de/news/2025-06/01/gewitter-ueber-hamburg-start-des-ironman-verschoben,https://www.zeit.de/news/2025-06/01/gewitter-ueber-hamburg-start-des-ironman-verschoben,0,www.zeit.de,Unwetter: Gewitter über Hamburg: Start des Ironman verschoben,Hier finden Sie Informationen zu dem Thema „Unwetter“. Lesen Sie jetzt „Gewitter über Hamburg: Start des Ironman verschoben“.,https://img.zeit.de/news/2025-06/01/gewitter-ueber-hamburg-start-des-ironman-verschoben-image-group/wide__1300x731,2025-06-01T05:14:51Z,https://web.archive.org/web/20250602025139/https://www.zeit.de/news/2025-06/01/gewitter-ueber-hamburg-start-des-ironman-verschoben,"Der Start zur Ironman-EM in Hamburg ist aufgrund eines Unwetters verschoben worden. Das Rennen der Profi-Frauen, die sich eigentlich um 6.15 Uhr auf die 3,8 Kilometer lange Schwimmstrecke in Binnen- … [+273 chars]",,de,'Gewitter'
https://www.zeit.de/news/2025-06/01/ueber-100-einsaetze-fuer-polizei-und-feuerwehr-wegen-unwetter,https://www.zeit.de/news/2025-06/01/ueber-100-einsaetze-fuer-polizei-und-feuerwehr-wegen-unwetter,0,www.zeit.de,Starkregen und Gewitter: Über 100 Einsätze für Polizei und Feuerwehr wegen Unwetter,Hier finden Sie Informationen zu dem Thema „Starkregen und Gewitter“. Lesen Sie jetzt „Über 100 Einsätze für Polizei und Feuerwehr wegen Unwetter“.,https://img.zeit.de/news/2025-06/01/ueber-100-einsaetze-fuer-polizei-und-feuerwehr-wegen-unwetter-image-group/wide__1300x731,2025-06-01T06:49:17Z,https://web.archive.org/web/20250602085550/https://www.zeit.de/news/2025-06/01/ueber-100-einsaetze-fuer-polizei-und-feuerwehr-wegen-unwetter,"Zu mehr als 100 Einsätzen sind Polizei und Feuerwehr wegen des Unwetters in Baden-Württemberg ausgerückt. Es war vor allem die Nordhälfte des Landes betroffen, wie die Polizeipräsidien mitteilten. Vi… [+855 chars]",,de,'Gewitter'
https://www.stern.de/lifestyle/gesellschaft--sind-das-die-sommertrends--sunscreen-lust-und-pornstar-drink-35771352.html,https://www.stern.de/lifestyle/gesellschaft--sind-das-die-sommertrends--sunscreen-lust-und-pornstar-drink-35771352.html,0,www.stern.de,Gesellschaft: Sind das die Sommertrends? Sunscreen-Lust und Pornstar-Drink,"Schlecken wir alle Himbeereis, tragen Tanktop, Bikerbrillen und reiben uns ständig mit LSF50-Sonnencreme ein? Zum meteorologischen Sommeranfang ein Blick auf mögliche Trends der kommenden Monate.",https://image.stern.de/35771354/t/Lg/v1/w1440/r1.7778/-/01--zyn5d3qoisv8axs2048jpeg---365812a9b6508188.jpg,2025-06-01T07:00:40Z,https://web.archive.org/web/20250601075820/https://www.stern.de/lifestyle/gesellschaft--sind-das-die-sommertrends--sunscreen-lust-und-pornstar-drink-35771352.html,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Schlecken wir alle Himbeereis, tragen Tanktop, Bikerbrillen und reiben uns ständig mit LSF50-Sonnencreme ein? Zum meteorologischen Sommeranfang e… [+7586 chars]",,de,'Sonnencreme'
https://www.tagesspiegel.de/gesellschaft/gesellschaft-sind-das-die-sommertrends-sunscreen-lust-und-pornstar-drink-13784293.html,https://www.tagesspiegel.de/gesellschaft/gesellschaft-sind-das-die-sommertrends-sunscreen-lust-und-pornstar-drink-13784293.html,0,www.tagesspiegel.de,Gesellschaft: Sind das die Sommertrends? Sunscreen-Lust und Pornstar-Drink,"Schlecken wir alle Himbeereis, tragen Tanktop, Bikerbrillen und reiben uns ständig mit LSF50-Sonnencreme ein? Zum meteorologischen Sommeranfang ein Blick auf mögliche Trends der kommenden Monate.",https://www.tagesspiegel.de/images/13784290/alternates/BASE_16_9_W1400/1748761319000/sommer-cocktail-pornstar-martini.jpeg,2025-06-01T07:01:59Z,https://web.archive.org/web/20250601204027/https://www.tagesspiegel.de/gesellschaft/gesellschaft-sind-das-die-sommertrends-sunscreen-lust-und-pornstar-drink-13784293.html,Manche gewagten Prognosen deuten für 2025 auf einen der heißesten und trockensten Sommer seit Beginn der Wetteraufzeichnungen hin. Doch nichts Genaues weiß man nicht. Deshalb besser die Frage: Was wi… [+8067 chars],,de,'Sonnencreme'
https://www.morgenpost.de/berlin/article409157638/zum-sommeranfang-berlin-startet-hitzehilfe-fuer-obdachlose.html,https://www.morgenpost.de/berlin/article409157638/zum-sommeranfang-berlin-startet-hitzehilfe-fuer-obdachlose.html,0,www.morgenpost.de,Zum Sommeranfang: Berlin startet Hitzehilfe für Obdachlose,Nicht nur Kälte macht auf der Straße lebenden Menschen zu schaffen. Hitze kann für sie lebensgefährlich werden. Was Sie tun können.,https://img.sparknews.funkemedien.de/409157617/409157617_1748762473_v16_9_1600.jpeg,2025-06-01T07:21:14Z,,"Berlin. Nicht nur Kälte macht auf der Straße lebenden Menschen zu schaffen. Hitze kann für sie lebensgefährlich werden. Was Sie tun können.
Mit dem meteorologischen Beginn des Sommers startet an die… [+1056 chars]",,de,'Sonnencreme'
https://www.diepresse.com/19737805/maskentaenze-im-schatten-des-himalaya,https://www.diepresse.com/19737805/maskentaenze-im-schatten-des-himalaya,0,www.diepresse.com,Maskentänze im Schatten des Himalaya,"Nepal & Bhutan. Von heiligen Tänzen und stillen Tempeln führt die Reise zum Tigernest – einem Felsheiligtum an den Hängen des Himalaya, das die Seele berührt und die Zeit stillstehen lässt.",https://img.diepresse.com/public/incoming/wd4afd-Nepal_Swayambhunath_shutterstock_153727823.jpg/alternates/DPR_SOCIAL_SPONSORED/Nepal_Swayambhunath_shutterstock_153727823.jpg,2025-06-01T08:00:00Z,,"Nepal &amp; Bhutan. Von heiligen Tänzen und stillen Tempeln führt die Reise zum Tigernest einem Felsheiligtum an den Hängen des Himalaya, das die Seele berührt und die Zeit stillstehen lässt.
Im Ang… [+7447 chars]",,de,'Schatten'
https://www.zeit.de/news/2025-06/01/schauer-und-gewitter-im-freistaat-und-ein-wenig-sonne,https://www.zeit.de/news/2025-06/01/schauer-und-gewitter-im-freistaat-und-ein-wenig-sonne,0,www.zeit.de,Wettervorhersage: Schauer und Gewitter im Freistaat - und ein wenig Sonne,Hier finden Sie Informationen zu dem Thema „Wettervorhersage“. Lesen Sie jetzt „Schauer und Gewitter im Freistaat - und ein wenig Sonne“.,https://img.zeit.de/news/2025-06/01/schauer-und-gewitter-im-freistaat-und-ein-wenig-sonne-image-group/wide__1300x731,2025-06-01T09:26:24Z,https://web.archive.org/web/20250602084117/https://www.zeit.de/news/2025-06/01/schauer-und-gewitter-im-freistaat-und-ein-wenig-sonne,"Die Menschen in Bayern müssen sich in den kommenden Tagen auf ungemütlich nasses Wetter einstellen. Bereits am Sonntag ziehen ab dem Nachmittag von Westen aus Schauer und Gewitter auf, wie der Deutsc… [+829 chars]",,de,'Sonne'
https://www.zeit.de/news/2025-06/01/schauer-und-gewitter-in-der-naechsten-woche-erwartet,https://www.zeit.de/news/2025-06/01/schauer-und-gewitter-in-der-naechsten-woche-erwartet,0,www.zeit.de,Wetter: Schauer und Gewitter in der nächsten Woche erwartet,Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Schauer und Gewitter in der nächsten Woche erwartet“.,https://img.zeit.de/news/2025-06/01/schauer-und-gewitter-in-der-naechsten-woche-erwartet-image-group/wide__1300x731,2025-06-01T09:36:50Z,https://web.archive.org/web/20250602031354/https://www.zeit.de/news/2025-06/01/schauer-und-gewitter-in-der-naechsten-woche-erwartet,"Nach den Unwettern am Wochenende müssen sich die Menschen in Baden-Württemberg auch in der kommenden Woche auf viel Regen und Gewitter einstellen. Das Wetter bleibe unbeständig, so ein Meteorologe de… [+1396 chars]",,de,'Gewitter'
https://www.zeit.de/news/2025-06/01/teils-starke-gewitter-in-rheinland-pfalz-und-im-saarland,https://www.zeit.de/news/2025-06/01/teils-starke-gewitter-in-rheinland-pfalz-und-im-saarland,0,www.zeit.de,Wetter: Teils starke Gewitter in Rheinland-Pfalz und im Saarland,Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Teils starke Gewitter in Rheinland-Pfalz und im Saarland“.,https://img.zeit.de/news/2025-06/01/teils-starke-gewitter-in-rheinland-pfalz-und-im-saarland-image-group/wide__1300x731,2025-06-01T11:00:50Z,,In Rheinland-Pfalz und im Saarland kann es in den kommenden Tagen immer mal wieder ungemütlich werden. Die Meteorologen vom Deutschen Wetterdienst (DWD) rechnen für heute mit einzelnen kräftigen Gewi… [+746 chars],,de,'Gewitter'
