index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.focus.de/sport/die-hitzeschlacht-von-lausanne_ddbc98bc-3102-4eed-8866-873f6614b211.html,https://www.focus.de/sport/die-hitzeschlacht-von-lausanne_ddbc98bc-3102-4eed-8866-873f6614b211.html,0,www.focus.de,Die Hitzeschlacht von Lausanne,Bei 40 Grad im Schatten liefern sich Österreich und die Schweiz 1954 ein irres WM-Viertelfinale. Das 7:5 von Lausanne ist bis heute das torreichste WM-Spiel.,"https://quadro.burda-forward.de/ctf/3e40caa4-0655-462d-ad72-1e0f6168cf05.f965863c-bc95-45e7-82ff-c5dbea1fbdfd.jpg?im=RegionOfInterestCrop=(1200,630),regionOfInterest=(1909,1837)&hash=5c69b04f5f389ae0718ee8e078bfa819462f809b986981ffbcfb6bbec9d9989d",2026-06-01T11:28:00Z,,"Die Fußball-WM 2026 versetzt die Menschen wieder ins Fußball-Fieber. Zwölf Tore, ein taumelnder Torwart und Temperaturen von rund 40 Grad im Schatten: Das Viertelfinale zwischen Österreich und der Sc… [+5214 chars]",,de,'Schatten'
https://www.zeit.de/news/2026-06/02/ohne-hitze-und-faehnchen-das-erwartet-nagelsmann-in-chicago,https://www.zeit.de/news/2026-06/02/ohne-hitze-und-faehnchen-das-erwartet-nagelsmann-in-chicago,0,www.zeit.de,Fußball-Nationalmannschaft: Ohne Hitze und Fähnchen: Das erwartet Nagelsmann in Chicago,Hier finden Sie Informationen zu dem Thema „Fußball-Nationalmannschaft“. Lesen Sie jetzt „Ohne Hitze und Fähnchen: Das erwartet Nagelsmann in Chicago“.,https://img.zeit.de/news/2026-06/02/ohne-hitze-und-faehnchen-das-erwartet-nagelsmann-in-chicago-image-group/wide__1300x731,2026-06-02T04:04:04Z,,Nach der Ankunft in Amerika wird es Bundestrainer Julian Nagelsmann im Teamhotel des DFB nördlich der Innenstadt von Chicago an nichts mangeln. Nur von WM-Stimmung ist auch im noblen Waldorf Astoria … [+1832 chars],,de,'Hitze'
https://t3n.de/news/ki-wettervorhersage-10000-mal-schneller-1742229/,https://t3n.de/news/ki-wettervorhersage-10000-mal-schneller-1742229/,0,t3n.de,10.000-mal schneller: Wie KI-Modelle die klassische Wettervorhersage herausfordern,Regnet es am Wochenende oder scheint die Sonne? Instabile Wetterlagen wie jetzt gerade machen die Wettervorhersage besonders unzuverlässig. Wie KI-Modelle hier Abhilfe schaffen – und wo ihre Grenzen liegen. Die wichtigsten Fragen und Antworten.,https://cdn.t3n.de/news/wp-content/uploads/2025/11/shutterstock_2504055095.jpg?class=content,2026-06-02T13:55:00Z,,"Ein langes Mai-Wochenende steht an eigentlich ideal für Freiluftaktivitäten. Aber wird tatsächlich die Sonne scheinen? Wer diese Frage derzeit mit Wetter-Apps auf dem Smartphone beantwortet, wird oft… [+10307 chars]",,de,'Sonne'
https://www.diepresse.com/27823356/auswandern-in-der-pension-in-diesen-laendern-lebt-es-sich-am-besten,https://www.diepresse.com/27823356/auswandern-in-der-pension-in-diesen-laendern-lebt-es-sich-am-besten,0,www.diepresse.com,Auswandern in der Pension: In diesen Ländern lebt es sich am besten [premium],"Sonne, Meer und niedrigere Lebenshaltungskosten: Für viele Pensionisten wird der Ruhestand im Ausland immer attraktiver. Eine Studie zeigt, welche Länder besonders gute Bedingungen bieten.",https://img.diepresse.com/public/incoming/mukk1q-PORTUGAL-SURFING-TOURISM-LEISURE/alternates/WEBP_WIDE_1200/PORTUGAL-SURFING-TOURISM-LEISURE,2026-06-02T15:03:14Z,,"Die Lebenserwartung steigt weltweit weiter an: Ein Mensch, der 2021 geboren wurde, lebt im Schnitt 25 Jahre länger als einer, der 1950 zur Welt kam. Eine aktuelle Studie zeigt auf, in welchen zehn Lä… [+5710 chars]",,de,'Sonne'
https://www.brigitte.de/mode/trends/neu-in-den-shops--die-schoensten-neuheiten-im-juni-14082082.html,https://www.brigitte.de/mode/trends/neu-in-den-shops--die-schoensten-neuheiten-im-juni-14082082.html,0,www.brigitte.de,Neu in den Shops: Die schönsten Neuheiten im Juni,"Wir können es selbst kaum glauben, aber die Mitte des Jahres ist schon wieder erreicht. Das bedeutet allerdings auch: Der Sommer ist da. Wir zeigen, mit welchen stylischen Neuheiten wir die Sonne genießen.",https://image.brigitte.de/14082300/t/SE/v2/w1440/r1.7778/-/nids-teaser1.jpg,2026-06-02T19:00:00Z,,"Bitte logge dich ein, um diesen Inhalt sehen zu können!
Er ist Teil unseres exklusiven Angebots für registrierte Nutzer:innen. Du kannst ihn lesen, sobald du dich angemeldet hast.
Du hast noch kein… [+244 chars]",,de,'Sonne'
