domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.zeit.de,0.03109235833508661,0.20179899862110862,0.0757149285831171,0.14528507694959092,1358.0
www.stern.de,-0.05986192464837111,0.2341828959945058,0.07898732689734968,0.14264347392943277,878.0
www.tagesspiegel.de,0.03697484721709528,0.20683064968620765,0.08625322997416021,0.11964980830184968,387.0
www.faz.net,0.002676807760141091,0.2220743447257208,0.08388447971781304,0.1280730924190686,315.0
www.bild.de,0.05289644878930593,0.24884270024309757,0.062157321514464375,0.1107953277180158,175.0
www.n-tv.de,0.04008412140108569,0.26637546032980686,0.0823781179138322,0.14477824324828215,168.0
www.sueddeutsche.de,0.036894014550264545,0.20025857476315903,0.07668839758125473,0.11548349398250314,168.0
www.morgenpost.de,0.03354271695252708,0.22623856700590547,0.050118499643816095,0.09747420796787049,158.0
www.diepresse.com,0.058301258926258925,0.2430486976930919,0.0783459595959596,0.13812853956883034,132.0
www.focus.de,0.03611892263467067,0.2732125843443716,0.08960129983752031,0.12230493100926329,127.0
www.welt.de,0.05325188964474679,0.2590639227847354,0.06279868984630889,0.12945857785718334,126.0
www.tagesschau.de,-0.04097264618097952,0.24780859930186008,0.08981956315289648,0.15169152381355652,117.0
taz.de,0.02744285300925926,0.1892332569919408,0.20575810185185184,0.10530845561424536,96.0
www.nzz.ch,0.02967556842556842,0.18519019134587805,0.07005577005577006,0.1289906764455971,74.0
t3n.de,0.07508874458874458,0.19332883073827362,0.08321789321789322,0.11403680662389348,55.0
www.telepolis.de,0.01683185677371724,0.2015341129610922,0.05916389811738649,0.11305325413032791,43.0
www.dw.com,0.021255952380952375,0.21715216833267417,0.09452380952380952,0.1561808716782531,40.0
www.brigitte.de,0.22105489417989418,0.21433884479803655,0.04328042328042328,0.07937705125124085,36.0
www.spektrum.de,0.020294117647058817,0.17019261250581577,0.07146358543417367,0.11781595374461992,34.0
www.gamestar.de,0.15094035594035593,0.17803230157749253,0.08023088023088022,0.11941141728769082,33.0
orf.at,0.07542929292929293,0.19597823996229924,0.05808080808080807,0.11946940072854519,33.0
www.ibiza-heute.de,0.07962000962000962,0.2521345537107292,0.033561808561808563,0.07985630656349088,33.0
science.orf.at,-0.006428571428571434,0.25397106195744307,0.14318181818181816,0.23209730794116365,33.0
www.urlaubspiraten.de,0.28269357638888887,0.25753866882076026,0.04153819444444445,0.07435177514387267,32.0
www.golem.de,0.05744047619047618,0.1380119352263716,0.03824884792626728,0.0950035514391091,31.0
www.freitag.de,0.09291971916971917,0.18634903469783234,0.08241758241758242,0.126740180820851,26.0
